"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Infraphylum","Parvphylum","Gigaclass","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","A","worms"
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","E4",3,1999,1,"E4",3,"129851",129851
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","B8A",1,2017,4,"B8",4,"129851",129851
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","E3A",1,2017,4,"E3",4,"129851",129851
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","E3",5,1999,1,"E3",5,"129851",129851
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","E4C",1,2015,4,"E4",4,"129851",129851
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","C4C",1,2013,8,"C4",8,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","E4C",3,2017,4,"E4",12,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","E4B",2,2016,4,"E4",8,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","A7C",1,2017,4,"A7",4,"138802",138802
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Venerida","Arcticoidea","Arcticidae","Arctica","Arctica islandica",,,,,,,,,,,,,,,"Arctica islandica","B5B",1,2017,4,"B5",4,"138802",138802
